ADVANCED-DH ON,ADHM1
ADVANCED-DH ON,ADHM3
AES TIETE E,TIET-DEB43L0
AES TIETE E ON,TIET3
AES TIETE E,TIET-DEB43B0
AES TIETE E PN,TIET4
AES TIETE E,TIET-DEB43L1
AFLUENTE T ON,AFLT3
Agro Industrial De Cerea... PNA,AGVE5L
Agro Industrial De Cerea... PNB,AGVE6L
Agroindustrial e Pastori... PNA,AIPN5L
AGROMASSA PNA PNA,ARSA5L
Agropecuaria Belo Horizo... PNA,AGBH5L
Agropecuaria Santa Rosa PNA,AGSR5L
Agropecuaria Serra Azul PNA,AGSA5L
ALEF S/A ON,ALEF3B
ALFA PNB,RPAD6
ALFA ON,RPAD3
ALFA PNA,RPAD5
ALGAR TELEC,ALGT-DEB620B
ALGAR TELEC,ALGT-DEB62B0
ALGAR TELEC,ALGT-DEB62L0
ALGAR TELEC,ALGT-DEB62L1
ALPER ON,APER9
ALPER ON,APER1
ALPER ON,APER3
Aluminio Extrudado Brasi... PN,ALMN4L
ALUPAR PN,ALUP4
ALUPAR ON,ALUP3
AMBEV S/A ON,ABEV3
AMPLA ENERG ON,CBEE3
Andrade Gutierrez Partic... ON,CANT3B
Andrade Gutierrez Partic... PN,CANT4B
Angelica Pna PNA,SAIS5L
ANIMA ON,ANIM3
APIACAS PNA PNA,APAK5L
AREZZO ON,ARZZ3
Arteris,ARTR-DEB530B
Arteris,ARTR-DEB53L1
Arteris,ARTR-DEB53L0
Arteris,ARTR-DEB53B0
ATOMPAR ON,ATOM3
AZEVEDO PN,AZEV4
AZEVEDO ON,AZEV3
AZUL PN,AZUL4
B2W DIGITAL ON,BTOW3
B3 ON,B3SA3
BAHEMA ON,BAHI9
BAHEMA ON,BAHI3
Banco BMG PN,BMGB4
BTGP BANCO PNA,BPAC5
BTGP BANCO ON,BPAC3
BANCO INTER ON,BIDI3
BANCO INTER PN,BIDI4
BANCO PAN PN,BPAN4
BANCO PAN PN,BPAN10
SANTANDER BR PN,SANB4
SANTANDER BR ON,SANB3
BANESTES ON,BEES3
BANESTES PN,BEES4
BARDELLA ON,BDLL3
BARDELLA PN,BDLL4
BATTISTELLA ON,BTTL3
BAUMER ON,BALM3
BAUMER PN,BALM4
BBMLOGISTICA ON,BBML3
BBSEGURIDADE ON,BBSE3
ABC BRASIL PN,ABCB4
ALFA INVEST ON,BRIV3
ALFA INVEST PN,BRIV4
AMAZONIA ON,BAZA3
BRADESCO ON,BBDC3
BRADESCO PN,BBDC4
BRASIL ON,BBAS3
BRASIL ON,BBAS11
BRASIL ON,BBAS12
BANPARA ON,BPAR3
BANRISUL ON,BRSR3
BANRISUL PNB,BRSR6
BANRISUL PNA,BRSR5
BANESE ON,BGIP3
BANESE PN,BGIP4
FINANSINOS ON,FNCN3
INDUSVAL PN,IDVL4
INDUSVAL ON,IDVL3
MERC BRASIL ON,BMEB3
MERC BRASIL PN,BMEB4
MERC INVEST ON,BMIN3
MERC INVEST PN,BMIN4
NORD BRASIL ON,BNBR3
PINE PN,PINE2
PINE ON,PINE1
PINE PN,PINE10
PINE PN,PINE4
PINE ON,PINE9
PINE ON,PINE3
BDRX,BDRX11
BETAPART ON,BETP3B
BIC MONARK ON,BMKS3
BIOMM ON,BIOM9
BIOMM ON,BIOM3
BIOMM ON,BIOM1
BIOMM ON,BIOM11
BIOSEV ON,BSEV3
BK BRASIL ON,BKBR3
BOMBRIL PN,BOBR4
BOMBRIL ON,BOBR3
BR MALLS PAR ON,BRML3
BR PROPERT ON,BRPR3
BRADESPAR PN,BRAP4
BRADESPAR ON,BRAP3
BR BROKERS ON,BBRK3
IRBBRASIL RE ON,IRBR3
BRASILAGRO ON,AGRO3
BRASKEM PNA,BRKM5
BRASKEM ON,BRKM3
BRASKEM PNB,BRKM6
BRAZIL REALT,BZRS-CRI11B0
BRAZILIAN SC,BSCS-CRIT3B0
BRAZILIAN SC,BSCS-CRIT4B0
BRAZILIAN SC,BSCS-CRIT2B0
BRB BANCO PN,BSLI4
BRB BANCO ON,BSLI3
BRC SECURIT,BRCS-CRI71B0
BRC SECURIT,BRCS-CRI1AB0
BRF ON,BRFS3
BRQ ON,BRQB3
C & A Modas ON,CEAB3
CABINDA PART ON,CABI3B
CACONDE PART ON,CACO3B
Caianda Participacoes ON,CAIA3B
CAMBUCI ON,CAMB3
CAMBUCI PN,CAMB4
CAMIL ON,CAML3
CAPITALPART ON,CPTP3B
CARREFOUR BR ON,CRFB3
CCR ON,CCRO3
CCX CARVAO ON,CCXC3
CEMAR PNB,ENMA6B
Cemar-Cia Energetica Do ... PNB,EQMA6B
Cemar-Cia Energetica Do ... PNA,EQMA5B
Cemar-Cia Energetica Do ... ON,EQMA3B
CEMAR PNA,ENMA5B
CEMAR ON,ENMA3B
CEMEPE PN,MAPT4
CEMEPE ON,MAPT3
CEMIG DIST,CMGD-DEB32L0
CEMIG DIST,CMGD-DEB32B0
CEMIG DIST,CMGD-DEB32L1
Ceno Norte Pna PNA,CCNO5L
Centenor Empreendimentos PNE,CTNR11L
