titulo,link,descricao,noticia
JSL compra Transportes Marvel,https://financenews.com.br/2021/08/jsl-compra-transportes-marvel/,"&#160; Publicado às 19h03 &#160; A JSL (JSLG3) informou na noite desta segunda-feira, 2 de [&#8230;]","Publicado às 19h03   A JSL (JSLG3) informou na noite desta segunda-feira, 2 de agosto, que foi implementado contrato de compra e venda para aquisição da Transportes Marvel. A transação foi realizada por intermédio da Riograndense Logística, subsidiária integral da JSL.  A estratégia da aquisição está alinhada com o planejamento estratégico de organizar a estrutura societária da companhia visando maximizar a geração de valor para os acionistas e extrair sinergias. A transação não depende de deliberação da assembleia geral da companhia."
"Petro Rio lucra R$ 304,6 milhões no 2T21",https://financenews.com.br/2021/08/petro-rio-lucra-r-3046-milhoes-no-2t21/,"&#160; Publicado às 19h51 &#160; A Petro Rio (PRIO3) informou na noite desta segunda-feira, 2 [&#8230;]","Publicado às 19h51   A Petro Rio (PRIO3) informou na noite desta segunda-feira, 2 de agosto, o resultado do segundo trimestre de 2021 (2T21). A companhia registrou lucro líquido de  R$ 304,6 milhões no 2T21, revertendo prejuízo de R$ 76,2 milhões no 2T20.  O Ebitda Ajustado foi de R$ 642,9 milhões no trimestre, 267% superior frente ao mesmo período do ano anterior. A receita líquida somou R$ 1,022 bilhão, aumento anual de 228%. Segundo a companhia, “os principais fatores que impactaram o desempenho financeiro da PetroRio foram o expressivo volume de offtakes realizados no trimestre, totalizando 2,8 milhões de barris vendidos; e a recuperação do preço do Brent, que atingiu uma média de US$ 69,08 por barril no trimestre, compensando a queda observada ao longo do ano de 2020”.  Confira outros dados:"
"Copasa tem lucro líquido de R$ 237,1 milhões",https://financenews.com.br/2021/08/copasa-tem-lucro-liquido-de-r-2371-milhoes/,&#160; Publicado às 18h07 &#160; A Companhia de Saneamento de Minas Gerais &#8211; Copasa (CSMG3) [&#8230;],"Publicado às 18h07   A Companhia de Saneamento de Minas Gerais – Copasa (CSMG3) divulgou na noite desta segunda-feira, 2 de agosto, o resultado do segundo trimestre de 2021 (2T21). A companhia registrou lucro líquido de R$ 237,129 milhões, alta de 62% em relação ao 2T20.  O Ebitda teve alta de 30,1% na comparação com o mesmo período de 2020, a R$ 492,37 milhões.  A receita líquida de água, esgoto e resíduos sólidos no 2T21 totalizou R$ 1,30 bilhão, 9,9% superior ao 2T20.  Confira outros dados na tabela:"
Desktop conclui aquisição da Starnet Telecomunicações,https://financenews.com.br/2021/08/desktop-conclui-aquisicao-da-starnet-telecomunicacoes/,"Publicado às 18h40 &#160; A Desktop (Desk3) informou, na noite desta segunda-feira, 2 de agosto, [&#8230;]","Publicado às 18h40   A Desktop (Desk3) informou, na noite desta segunda-feira, 2 de agosto, que encerrou a aquisição de 100% das quotas representativas do capital social da Starnet Telecomunicações. O contrato de compra e venda tinha sido assinado no dia 21 de maio de 2021.  Com uma base de 20.130 assinantes e receita bruta total de, aproximadamente, R$ 30 milhões nos últimos doze meses, encerrados em 30 de junho de 2021, a Starnet presta serviços de internet banda larga com tecnologia de fibra óptica no interior do estado de São Paulo (Atibaia, Mairiporã, Bom Jesus dos Perdões, Jarinu, Piracaia e Nazaré Paulista).  A aquisição da Starnet demonstra a manutenção da estratégia de crescimento da companhia por meio de aquisições de ativos que: estejam localizados em áreas geográficas adjacentes à operação atual da Companhia; possuam forte dominância em seu mercado de atuação; e com potencial para continuar o crescimento pós-transação de forma orgânica.  O preço total de aquisição da transação é de R$ 51.532.094,18, sendo que o montante de R$ 26.147.499,50 será pago à vista, e o montante de R$ 25.384.594,68 será pago a prazo ao longo de cinco anos a contar desta data."
Petrobras: FPSO em Mero 4,https://financenews.com.br/2021/08/petrobras-fpso-em-mero-4/,"&#160; Publicado às 19h22 &#160; A Petrobras (Petr4) informou na noite desta segunda-feira, 2 de [&#8230;]","Publicado às 19h22   A Petrobras (Petr4) informou na noite desta segunda-feira, 2 de agosto, que assinou hoje carta de intenção com a empresa SBM Offshore para afretamento e prestação de serviços do FPSO Alexandre de Gusmão, a ser instalado no campo de Mero, localizado no pré-sal da Bacia de Santos.  O FPSO, cuja sigla em inglês significa unidade flutuante de produção, armazenamento e transferência de óleo, será a quarta plataforma do sistema definitivo do campo de Mero e terá capacidade de processamento de 180 mil barris de óleo e 12 milhões de m3 de gás por dia.  O início da produção está previsto para 2025. Os contratos de afretamento e de serviços terão duração de 22 anos e 6 meses, contados a partir da aceitação final da unidade.  O projeto prevê a interligação de 15 poços ao FPSO, sendo 8 produtores de óleo, 6 injetores de água e gás, 1 poço conversível de produtor para injetor de gás, através de uma infraestrutura submarina composta por dutos rígidos de produção e injeção e dutos flexíveis de serviços.  O campo de Mero é o terceiro maior do pré-sal e está localizado na área de Libra, operada pela Petrobras (40%) em parceria com a Shell Brasil Petróleo Ltda. (20%), TotalEnergies EP Brasil Ltda. (20%), CNODC Brasil Petróleo e Gás Ltda. (10%), CNOOC Petroleum Brasil Ltda. (10%) e Pré-Sal Petróleo (PPSA), que exerce papel de gestora deste contrato."
Itaú anuncia juros sobre capital; lucro aumenta no 2T21,https://financenews.com.br/2021/08/itau-anuncia-juros-sobre-capital-lucro-aumenta-no-2t21/,&#160; &#160; Publicado às 19h04 &#160; &#160; O conselho de administração do Itaú (ITUB4) aprovou [&#8230;],"Publicado às 19h04     O conselho de administração do Itaú (ITUB4) aprovou nesta segunda-feira, 2, o pagamento de juros sobre o capital próprio no valor de R$ 0,10384 por ação, com retenção de 15% de imposto de renda na fonte, resultando em juros líquidos de R$ 0,088264 por ação.  A informação foi divulgada depois do fechamento do mercado. A base de cálculo para ter direito é a posição acionária final registrada no dia 13.08.2021, com suas ações negociadas “ex-direito” a partir do dia 16.08.2021.  O pagamento será realizado em 26.08.2021, assim como o pagamento dos juros sobre o capital próprio já declarados em 2021, conforme a tabela abaixo, resultando no pagamento do montante total de R$ 2,159 bilhões a ser distribuído líquido de impostos.  Lucro líquido contábil de R$ 7,5 bi O Itaú Unibanco (ITUB4) registrou lucro líquido contábil de R$ 7,560 bilhões no segundo trimestre de 2021. No 2T20, o resultado foi de R$ 3,424 bilhões. Já o lucro líquido recorrente do banco, que exclui fatores extraordinários no trimestre fiscal, somou R$ 6,543 bilhões no segundo trimestre, alta de 55,6% em relação ao mesmo período do ano anterior, com retorno recorrente gerencial sobre o patrimônio líquido médio anualizado de 18,9%.  “Entre os fatores que mais influenciaram os resultados está o bom ritmo de crescimento em linhas de negócios como cartão de crédito, crédito consignado, além do forte crescimento do crédito imobiliário e financiamento de veículos, já observados no trimestre anterior”, explicou o banco. A carteira de crédito total cresceu 12% ante o segundo trimestre de 2020, atingindo R$ 909,1 bilhões em junho de 2021.  Segundo o  Itaú, o crescimento reflete o desempenho das carteiras de crédito de pessoas físicas e de micro, pequenas e médias empresas, que avançaram 22,2% e 23,4%, respectivamente, no mesmo período.  Na carteira de pessoas física, além da expansão do crédito imobiliário (44,4%) e financiamento de veículos (32,3%), merecem destaque o crescimento do crédito consignado (17,3%) e cartão crédito (21,2%), quando comparado ao segundo trimestre de 2020, em decorrência da retomada econômica e consequente redução do isolamento social O custo do crédito, que inclui a despesa de provisão para créditos de liquidação duvidosa (PDD) totalizou R$ 4,7 bilhões no segundo trimestre, uma redução de 39,6% quando comparado ao mesmo trimestre do ano passado, devido ao maior provisionamento feito no primeiro semestre de 2020, como consequência da alteração do cenário macroeconômico.  Entre abril e junho deste ano, a despesa de provisão para créditos de liquidação duvidosa foi de R$ 4,8 bilhões, 36,1% menor do que a observada no segundo trimestre de 2020.  “O índice de inadimplência medido por créditos vencidos há mais de 90 dias atingiu 2,3%, redução de 0,4 ponto percentual quando comparado ao mesmo período do ano anterior, o que mostra que a estratégia de renunciar receitas no curto prazo para apoiar os clientes e a sociedade como um todo no período mais crítico da crise foi acertada”, afirmou o banco. Veja mais detalhes do balanço:"
Enauta vai devolver Bloco CE-M-661 na Bacia do Ceará,https://financenews.com.br/2021/08/enauta-vai-devolver-bloco-ce-m-661-na-bacia-do-ceara/,"&#160; Publicado às 19h30 &#160; A Enauta (ENAT3) informou, na noite desta segunda-feira, 2 de [&#8230;]","Publicado às 19h30   A Enauta (ENAT3) informou, na noite desta segunda-feira, 2 de agosto, que o Bloco CE-M-661, localizado na Bacia do Ceará, será devolvido à Agência Nacional do Petróleo, Gás Natural e Biocombustíveis (ANP) ao final do primeiro período exploratório, conforme acordado pelo consórcio.  A companhia arrematou 25% de participação no Bloco CE-M-661 na 11ª Rodada de Licitações da ANP em 2011 e seu primeiro período exploratório termina em novembro deste ano.  Baseada em análises geológicas e econômicas e na busca contínua da otimização de seu portfólio, a Enauta decidiu pela devolução do bloco.  O valor dos compromissos assumidos pela Enauta no Programa Exploratório Mínimo (PEM) do bloco é de R$ 26,9 milhões e o valor referente ao bônus de assinatura contabilizado é de R$ 10,1 milhões. O montante total de R$ 37,0 milhões será registrado como gastos exploratórios no resultado do segundo trimestre de 2021."
Ações da Viver saltam após sentença que determinou fim da recuperação judicial,https://financenews.com.br/2021/08/acoes-da-viver-saltam-apos-sentenca-que-determinou-fim-da-recuperacao-judicial/,"&#160; Publicado às 18h23 &#160; As ações da Viver (VIVR3) fecharam em alta de 15,61% [&#8230;]","Publicado às 18h23   As ações da Viver (VIVR3) fecharam em alta de 15,61% nesta segunda-feira, 2 de agosto. O motivo foi a sentença proferida hoje pelo juízo da 2ª Vara de Falências e Recuperações Judiciais do Foro Central Cível da Comarca da Capital de São Paulo determinando o encerramento da recuperação judicial do Grupo Viver.  O fim da recuperação judicial já havia sido anunciado em junho. Em fato relevante, a companhia afirmou que o período de recuperação judicial representou a fase de reestruturação financeira da companhia, convertendo dívidas habilitadas no âmbito da recuperação judicial em capital e, consequente, no pagamento dos respectivos credores.  Por meio dessas capitalizações, a companhia quitou 98% da dívida habilitada no processo de recuperação judicial.  A recuperação judicial cumpriu, portanto, os objetivos de preservar a continuidade das atividades do Grupo Viver e sua função social; preservar os interesses e direitos de seus clientes, fornecedores, credores, colaboradores e acionistas; proteger a situação financeira do grupo e reforçá-la continuamente.  Os valores remanescentes, assim como todos os créditos ilíquidos, cujo fato gerador seja anterior ao pedido da recuperação judicial, continuam sujeitos aos efeitos do plano, ainda que esses débitos venham a ser liquidados após o encerramento do processo de recuperação judicial."
Pardini compra laboratório APC,https://financenews.com.br/2021/08/pardini-compra-laboratorio-apc/,&#160; Publicado às 19h11 &#160; O Instituto Hermes Pardini (PARD3) celebrou contrato para aquisição do [&#8230;],"Publicado às 19h11   O Instituto Hermes Pardini (PARD3) celebrou contrato para aquisição do APC (Laboratório de Anatomia Patologica e Cit) no valor de R$ 19,5 milhões. A informação foi divulgada na noite desta segunda-feira, 2 de agosto. O APC é um laboratório referência no país em painéis de imuno-histoquímica e hibridização “in situ”, realizadas em biópsia de peças cirúrgicas com amplo espectro de diagnóstico em oncologia. Em 2020, obteve uma receita bruta de R$ 9 milhões. Com a aquisição, o Grupo Pardini pretende ampliar a oferta dos serviços especializados em oncologia para todo o país por meio de hospitais, médicos, indústria farmacêutica, além dos mais de 6 mil laboratórios parceiros Lab-to-Lab.  Outro objetivo é fortalecer e agregar uma grande expertise em imuno-histoquimica à Rede Astro (Path to Path), que está conectando patologistas de todo o país em uma plataforma digital inédita de alta especialização."
BRF conclui compra da Hercosul,https://financenews.com.br/2021/08/brf-conclui-compra-da-hercosul/,"&#160; Publicado às 20h02 &#160; A BRF (BRFS3) comunicou nesta segunda-feira, 2 de agosto, que [&#8230;]","Publicado às 20h02   A BRF (BRFS3) comunicou nesta segunda-feira, 2 de agosto, que sua subsidiária BRF Pet, dedicada ao segmento de pet food, concluiu a aquisição das quotas representativas de 100% do capital social das empresas que compõem o Grupo Hercosul.  A companhia também informou que, em 22 de julho de 2021, o Conselho Administrativo de Defesa Econômica (Cade) emitiu despacho recomendando a aprovação sem restrições da aquisição da Mogiana Alimentos pela BRF Pet.  A concretização da operação de aquisição da Mogiana ainda aguarda o trânsito em julgado da decisão do Cade e atendimento das demais condições precedentes para o fechamento desta transação.  O preço a ser pago pela BRF Pet pela aquisição desses dois ativos é de R$ 1,350 bilhão, sujeito a ajustes, e será pago: aproximadamente 80% no fechamento e 20% a partir de um ano do fechamento das aquisições.  O nível de alavancagem financeira consolidada da companhia permanecerá de acordo com os limites prudenciais estabelecidos por sua administração.  Em decorrência das operações da Hercosul e da Mogiana, a BRF Pet promoverá a integração das novas operações de pet food, impulsionando sua estratégia comercial com foco no canal de distribuição especializado, agregando marcas fortes e trazendo importantes ganhos da sinergia, como na compra de grãos e co-produtos para a fabricação de rações.  Esses movimentos concretizam mais um importante passo rumo à “Visão 2030”, fazendo com que a BRF passe a ser um dos maiores e mais relevantes players no mercado brasileiro pet food até 2025."
