titulo,link,descricao
"Méliuz, PetroRio e Localiza estão no resumo da Guide",https://www.ultimoinstante.com.br/corretoras/meliuz-petrorio-e-localiza-estao-no-resumo-da-guide/367440/,"A equipe de Guide Investimentos escolheu para esta sexta-feira (30/07) avaliar os resultados das empresas brasileiras, bem como aquisições entre outras medidas. Acompanhe Localiza (RENT3): A Localiza (RENT3) reportou um acréscimo em sua receita líquida neste trimestre de 71,7% em comparação ao mesmo período do ano passado, o que totalizou R$ 2,7 bilhões, fruto de [&#8230;]"
Fechando julho com perdas,https://www.ultimoinstante.com.br/ultimas-noticias/noticias-destaque/fechando-julho-com-perdas/367441/,"O mês de julho vai indo embora com a Bovespa acumulando perda de 0,89%, faltando somente o pregão de hoje. Ontem andamos na contramão dos mercados no exterior e fechamos com queda de 0,48% e índice em 125.675 pontos. O dólar em nova queda de 0,78% e cotado a R$ 5,07. Aqui pesou o lado [&#8230;]"
Dólar avança ante real em dia de Ptax de fim de mês,https://www.ultimoinstante.com.br/ultimas-noticias/dolar-avanca-ante-real-em-dia-de-ptax-de-fim-de-mes/367423/,"Por Luana Maria Benedito SÃO PAULO (Reuters) &#8211; O dólar ganhava terreno contra o real nesta sexta-feira, dia de negociações voláteis devido ao fechamento da Ptax de fim de mês, enquanto as expectativas dos investidores se concentravam na próxima reunião de política monetária do Banco Central do Brasil. Às 10:21, o dólar avançava 0,37%, a [&#8230;]"
Judoca Maria Suelen se machuca e fica fora da disputa por equipes; Rafael Silva perde para Riner,https://www.ultimoinstante.com.br/ultimas-noticias/judoca-maria-suelen-se-machuca-e-fica-fora-da-disputa-por-equipes-rafael-silva-perde-para-riner/367436/,"(Reuters) &#8211; O último dia da disputa individual do judô nos Jogos Olímpicos de Tóquio não foi bom para o Brasil. Os pesados Rafael Silva e Maria Suelen Altheman acabaram na sétima colocação, e a brasileira sofreu uma lesão no joelho, ficando fora da disputa por equipes no sábado."
"FGV/IBRE: Indicador de Incerteza da Economia recua 3,0 pontos em julho",https://www.ultimoinstante.com.br/ultimas-noticias/noticias-destaque/fgv-ibre-indicador-de-incerteza-da-economia-recua-30-pontos-em-julho/367434/,"O Indicador de Incerteza da Economia (IIE-Br) da Fundação Getulio Vargas recuou 3,0 pontos em julho, para 119,3 pontos. Com o resultado, o indicador devolve a alta do mês anterior e retorna ao nível de maio de 2021. Os dados foram apresentados nesta sexta-feira (30/07). Com a melhora dos números da pandemia no Brasil e [&#8230;]"
Mercados da Ásia fecharam julho no negativo,https://www.ultimoinstante.com.br/ultimas-noticias/bolsa-de-valores/mercados-da-asia-fecharam-julho-no-negativo/367431/,"Os mercados asiáticos voltaram para o negativo nesta sexta-feira (30/07). Os investidores mantiveram a cautela com as medidas regulatórias da China, bem como a disseminação da variante Delta de coronavírus. Índices: o Hang, Seng, bolsa de Hong Kong, ficou em queda de 1,35% aos 26.961. O Xangai, China, ficou em queda de 0,42% aos 3.397. [&#8230;]"
"Setor público consolidado tem déficit primário de R$65,5 bi em junho, acima do esperado",https://www.ultimoinstante.com.br/ultimas-noticias/setor-publico-consolidado-tem-deficit-primario-de-r655-bi-em-junho-acima-do-esperado/367430/,"SÃO PAULO (Reuters) &#8211; O setor público consolidado brasileiro teve déficit primário de 65,508 bilhões de reais em junho, com o rombo em 12 meses passando a 3,81% do Produto Interno Bruto (PIB), informou o Banco Central nesta sexta-feira."
Cesp fica com receita em R$525 milhões no 2T21,https://www.ultimoinstante.com.br/ultimas-noticias/economia/empresas/cesp-fica-com-receita-em-r525-milhoes-no-2t21/367428/,"A CESP &#8211; Companhia Energética de São Paulo apresentou balanço financeiro do segundo trimestre de 2021. O crescimento de receita totalizou os R﹩ 525 milhões, 8% a mais que no mesmo período do ano passado, em função principalmente das operações de trading de sua unidade comercializadora. O EBITDA ajustado, de R﹩ 222 milhões, retraiu 23%, [&#8230;]"
"PNAD Contínua: Desemprego atinge 14,8 milhões de pessoas",https://www.ultimoinstante.com.br/ultimas-noticias/noticias-destaque/pnad-continua-desemprego-atinge-148-milhoes-de-pessoas/367421/,"Os dados da Pesquisa Nacional por Amostra de Domicílios (PNAD) Contínua, divulgada hoje (30), revelaram que a taxa de desocupação ficou em 14,6% no trimestre fechado em maio, estável em relação ao trimestre encerrado em fevereiro (14,4%). Isso corresponde a 14,8 milhões de pessoas buscando um trabalho no país. Essa taxa é a segunda maior [&#8230;]"
"Brasil tem desemprego de 14,6% no tri até maio, diz IBGE",https://www.ultimoinstante.com.br/ultimas-noticias/brasil-tem-desemprego-de-146-no-tri-ate-maio-diz-ibge/367422/,"RIO DE JANEIRO, Jul 30 (Reuters) &#8211; A taxa de desemprego no Brasil ficou em 14,6 por cento nos três meses até maio, informou o Instituto Brasileiro de Geografia e Estatística (IBGE) nesta sexta-feira."
