titulo,link,descricao
"Méliuz, PetroRio e Localiza estão no resumo da Guide",https://www.ultimoinstante.com.br/corretoras/meliuz-petrorio-e-localiza-estao-no-resumo-da-guide/367440/,"A equipe de Guide Investimentos escolheu para esta sexta-feira (30/07) avaliar os resultados das empresas brasileiras, bem como aquisições entre outras medidas. Acompanhe Localiza (RENT3): A Localiza (RENT3) reportou um acréscimo em sua receita líquida neste trimestre de 71,7% em comparação ao mesmo período do ano passado, o que totalizou R$ 2,7 bilhões, fruto de [&#8230;]"
"Irani lucra R$ 67,7 milhões no 2T21",https://financenews.com.br/2021/07/irani-lucra-r-677-milhoes-no-2t21/,&#160; Publicado às 18h39 &#160; A Irani Papel e Embalagem (RANI3) divulgou na noite desta [&#8230;]
"Assista à análise de Ibov, Petr4, Vale3, Bidi11, Mglu3 e Azul4",https://financenews.com.br/2021/07/assista-a-analise-de-ibov-petr4-vale3-bidi11-mglu3-e-azul4/,"Publicado às 17h45 Dalton Vieira faz a análise do Ibov, Winm21, Wdoq21, Petr4, Vale3, Bidi11, [&#8230;]"
"Rápidas: Vale, siderúrgicas, Méliuz, Localiza, Aura Minerals, BR, Grendene, Fleury e Intelbras",https://financenews.com.br/2021/07/rapidas-vale-siderurgicas-meliuz-localiza-aura-minerals-br-grendene-fleury-e-intelbras/,&#160; Publicado às 10h48 &#160; Vale e siderúrgicas As ações da Vale (VALE3) e das [&#8230;]
"Ibovespa futuro, dólar e outros destaques",https://financenews.com.br/2021/07/ibovespa-futuro-dolar-e-outros-destaques-56/,&#160; &#160; Publicado às 9h18 &#160; &#160; Ibovespa futuro O Ibovespa futuro (INDQ21 – contrato [&#8230;]
"Usiminas reporta lucro líquido de R$ 4,5 bilhões",https://financenews.com.br/2021/07/usiminas-reporta-lucro-liquido-de-r-45-bilhoes/,"Publicado às 8h10 &#160; Usiminas reporta lucro líquido de R$ 4,5 bilhões A Usiminas (USIM5) [&#8230;]"
Paranapanema reporta lucro líquido no 2T21,https://financenews.com.br/2021/07/paranapanema-reporta-lucro-liquido-no-2t21/,&#160; &#160; Publicado às 22h &#160; &#160; A Paranapanema (PMAM3) divulgou o resultado do 2T21 [&#8230;]
Ambipar compra 70% do capital social da ControlPar,https://financenews.com.br/2021/07/ambipar-compra-70-do-capital-social-da-controlpar/,&#160; Publicado às 23h48 &#160; A Ambipar Participações e Empreendimentos (AMBP3) informou na noite desta [&#8230;]
"Méliuz compra a Alter, especializada na negociação de criptoativos",https://financenews.com.br/2021/07/meliuz-compra-a-alter-especializada-na-negociacao-de-criptoativos/,"&#160; &#160; Publicado às 22h47 &#160; A Méliuz (CASH3) informou na noite desta quinta-feira, 29, [&#8230;]"
Grendene anuncia distribuição de dividendo e recompra de ações,https://financenews.com.br/2021/07/grendene-anuncia-distribuicao-de-dividendo-e-recompra-de-acoes/,&#160; &#160; Publicado às 18h25 &#160; &#160; Distribuição antecipada de dividendos A Grendene (GRND3) informou [&#8230;]
BR Distribuidora aprova pagamento de Juros sobre o Capital Próprio,https://financenews.com.br/2021/07/br-distribuidora-aprova-pagamento-de-juros-sobre-o-capital-proprio-2/,  &#160; &#160; Publicado às 20h59 &#160; &#160; A BR Distribuidora (BRDT3) aprovou o pagamento [&#8230;]
"Localiza: lucro líquido de R$ 447,9 milhões",https://financenews.com.br/2021/07/localiza-lucro-liquido-de-r-4479-milhoes/,"&#160; Publicado às 20h50 &#160; A Localiza (RENT3) divulgou nesta quinta-feira, 29 de julho, o [&#8230;]"
