titulo,link,descricao,noticia
"Irani lucra R$ 67,7 milhões no 2T21",https://financenews.com.br/2021/07/irani-lucra-r-677-milhoes-no-2t21/,&#160; Publicado às 18h39 &#160; A Irani Papel e Embalagem (RANI3) divulgou na noite desta [&#8230;],"Publicado às 18h39   A Irani Papel e Embalagem (RANI3) divulgou na noite desta sexta-feira, 30 de julho, o resultado do segundo trimestre de 2021 (2T21). A companhia teve lucro líquido de R$ 67,691 milhões no período. No 2T20, o lucro líquido havia sido de R$ 15,298 milhões. O Ebitda Ajustado foi de R$ 119,076 milhões, alta de 114,2% em relação ao apurado no 2T20. A margem Ebitda foi de 29,5%, frente à margem de 23,1% no mesmo período de 2020. A receita líquida somou R$ 403,137 milhões no 2T21, alta de 67,3% quando comparada à do 2T20.     Confira outros dados:    Whatsapp:  Para receber notícias entre no grupo pelo link: https://chat.whatsapp.com/E6hmt7el1f8BVfwVWP10Zs Telegram Para notícias entre nesse grupo: https://t.me/joinchat/AAAAAFdKtmVSmTmfF68jIA Para análise gráfica entre nesse grupo: https://t.me/joinchat/AAAAAFk1BILf5KNH9DlQ3A"
"Alpargatas tem lucro de R$ 107,5 milhões no 2T21",https://financenews.com.br/2021/07/alpargatas-tem-lucro-liquido-de-r-106-milhoes/,"&#160; Publicado às 18h57 &#160; A Alpargatas (Alpa4) divulgou na noite desta sexta-feira, 30 de [&#8230;]","Publicado às 18h57   A Alpargatas (Alpa4) divulgou na noite desta sexta-feira, 30 de julho, o resultado do segundo trimestre de 2021 (2T21). A companhia registrou lucro líquido de R$ 106 milhões no 2T21. No 2T20, o lucro líquido havia sido de 45 milhões. Já o lucro líquido recorrente foi de R$ 111,4 milhões, alta de 228,7% em relação ao 2T20. O lucro líquido atribuído aos acionistas da empresa controladora foi de R$ 107,5 milhões, alta de 97,9% em relação ao 2T20. O Ebitda recorrente foi de R$ 196,7 milhões, alta de 163% na comparação anual. A receita líquida foi de R$ 1,095 bilhão, crescimento de 71,4% em relação ao mesmo período de 2020.  Confira os destaques:      Whatsapp:  Para receber notícias entre no grupo pelo link: https://chat.whatsapp.com/E6hmt7el1f8BVfwVWP10Zs Telegram Para notícias entre nesse grupo: https://t.me/joinchat/AAAAAFdKtmVSmTmfF68jIA Para análise gráfica entre nesse grupo: https://t.me/joinchat/AAAAAFk1BILf5KNH9DlQ3A"
Totvs vai pagar juros sobre o capital,https://financenews.com.br/2021/07/totvs-vai-pagar-jcp/,"&#160; Publicado às 19h31 &#160; A Totvs (TOTS3) comunicou, na noite desta sexta-feira, 30 de [&#8230;]","Publicado às 19h31   A Totvs (TOTS3) comunicou, na noite desta sexta-feira, 30 de julho, que seu conselho de administração aprovou o pagamento de juros sobre capital próprio (JCP), no montante total de R$ 51.192.745,92. O valor corresponde a R$ 0,09 por ação da companhia, referente ao primeiro semestre de 2021. Terão direito aos JCP todos os acionistas titulares de ações em 4 de agosto de 2021. As negociações de ações, a partir do dia 5 de agosto de 2021, inclusive, serão realizadas ex-JCP. Os JCP serão pagos aos acionistas no dia 22 de outubro de 2021. O valor do JCP está sujeito à retenção de Imposto de Renda Retido na Fonte.   Whatsapp:  Para receber notícias entre no grupo pelo link: https://chat.whatsapp.com/E6hmt7el1f8BVfwVWP10Zs Telegram Para notícias entre nesse grupo: https://t.me/joinchat/AAAAAFdKtmVSmTmfF68jIA Para análise gráfica entre nesse grupo: https://t.me/joinchat/AAAAAFk1BILf5KNH9DlQ3A"
São Martinho vai pagar dividendos,https://financenews.com.br/2021/07/sao-martinho-vai-pagar-dividendos-2/,&#160; &#160; Publicado às 20h21 &#160; &#160; A São Martinho (SMTO3) comunicou na noite desta [&#8230;],"Publicado às 20h21     A São Martinho (SMTO3) comunicou na noite desta sexta-feira, 30 de julho, que a assembleia geral extraordinária e ordinária realizada hoje aprovou o pagamento de dividendos no total de R$ 299.999.061,48. O valor equivale a R$ 0,86611044191 por ação.  Os dividendos tem como base a posição acionária desta sexta-feira, 30 de julho, e serão pagos em 17 de agosto de 2021.  As ações da companhia serão negociadas “ex dividendos” a partir de 2 de agosto de 2021.  Os dividendos somados ao pagamento de juros sobre capital próprio (JCP) realizado em 10 dezembro de 2020, no valor líquido de impostos de R$ 103.339.478,45, totalizam o valor pago aos acionistas de R$ 403.338.539,93, equivalentes a R$ 1,16445604641 por ação.      Whatsapp:  Para receber notícias entre no grupo pelo link: https://chat.whatsapp.com/E6hmt7el1f8BVfwVWP10Zs Telegram Para notícias entre nesse grupo: https://t.me/joinchat/AAAAAFdKtmVSmTmfF68jIA Para análise gráfica entre nesse grupo: https://t.me/joinchat/AAAAAFk1BILf5KNH9DlQ3A"
"Rápidas: Vale, siderúrgicas, Méliuz, Localiza, Aura Minerals, BR, Grendene, Fleury e Intelbras",https://financenews.com.br/2021/07/rapidas-vale-siderurgicas-meliuz-localiza-aura-minerals-br-grendene-fleury-e-intelbras/,&#160; Publicado às 10h48 &#160; Vale e siderúrgicas As ações da Vale (VALE3) e das [&#8230;],"Publicado às 10h48   Vale e siderúrgicas As ações da Vale (VALE3) e das siderúrgicas CSN, Usiminas e Gerdau têm queda. O minério de ferro teve fortes perdas na China, o que afeta principalmente a Vale e a CSN. O governo chinês impôs maior regulação e pediu que várias cidades estabilizem seus mercados imobiliários, afetando a demanda por aço. As medidas ocorrem em meio aos esforços do governo para frear a poluição. Méliuz As ações da Méliuz (CASH3) tinham alta de 0,5% às 10h35. A companhia comprou a Alter, especializada na negociação de criptoativos (leia mais aqui). Localiza Os papéis da Localiza (RENT3) têm queda com o mercado digerindo o balanço da companhia.  Aura Minerals A Aura Minerals (AURA33) retomou as operações em Honduras (leia mais aqui). BR Distribuidora A BR Distribuidora (BRDT3) aprovou o pagamento de Juros sobre o Capital Próprio. Veja como aproveitar aqui. Grendene A Grendene (GRND3) anunciou a distribuição de dividendo e a recompra de ações (leia aqui mais detalhes). Intelbras Os papéis da Intelbras (INTB3) operavam em alta às 10h40. A companhia vai pagar dividendos e JCP (veja aqui como aproveitar). Fleury O Fleury (FLRY3) anunciou o pagamento de JCP (leia aqui). Os papéis tinham queda às 10h41 com os investidores repercutindo o balanço trimestral. Ibovespa A queda das ações da Vale, principalmente, pressionam o Ibovespa.  Às 10h47 o índice tinha baixa de 0,68% aos 124.817 pontos. Dólar O dólar comercial tinha alta de 0,29% a R$ 5,094 na venda às 10h46.   Whatsapp:  Para receber notícias entre no grupo pelo link: https://chat.whatsapp.com/IhrUchdwZfv0XUWXinybIS Telegram Para notícias entre nesse grupo: https://t.me/joinchat/AAAAAFdKtmVSmTmfF68jIA Para análise gráfica entre nesse grupo: https://t.me/joinchat/AAAAAFk1BILf5KNH9DlQ3A"
Ambipar conclui aquisição de empresa nos EUA,https://financenews.com.br/2021/07/ambipar-conclui-aquisicao-de-empresa-nos-estados-unidos/,&#160; Publicado às 20h58 &#160; A Ambipar Participações e Empreendimentos (AMBP3) informou na noite desta [&#8230;],"Publicado às 20h58   A Ambipar Participações e Empreendimentos (AMBP3) informou na noite desta sexta-feira, 30 de julho, que a Ambipar Holding USA concluiu a aquisição de 100% do capital social da Professional Emergency Resource Services (PERS), empresa especializada em atendimento L1 localizada em Ogden, Utah.  Com 27 anos de know how acumulados em atendimentos de emergências L1, a PERS conta com um corpo técnico altamente qualificado de profissionais multidisciplinares Hazmat que atendem em mais de 200 idiomas. Sua central de emergências 24 horas fica localizada no estado de Utah, nos Estados Unidos e atende a diversos países do mundo. A PERS possui mais de 4 mil clientes por assinatura e, em 2020, atendeu mais de 220 mil ligações. Com a aquisição, a Ambipar se torna a primeira empresa “one stop shop” dos Estados Unidos passando a oferecer serviços de L1/L2/L3.  Para a Ambipar, esta aquisição: representa a expansão geográfica da companhia nos Estados Unidos;  permite acesso a informações estratégicas a respeito de acidentes que demandam serviços L2/L3; e aumenta o portfólio de serviços da companhia, permitindo um único provedor de serviços de emergência em toda a cadeia, aumentando a barreira de entrada e gera sinergias operacionais e administrativas e oportunidades de cross selling, em linha com o seu plano estratégico de crescimento, com captura de sinergias e potencial maximização das margens e retorno.  Com a aquisição, a Ambipar passa a contar com 20 bases estrategicamente localizadas na região, com presença em 11 estados nos Estados Unidos.    Whatsapp:  Para receber notícias entre no grupo pelo link: https://chat.whatsapp.com/IhrUchdwZfv0XUWXinybIS Telegram Para notícias entre nesse grupo: https://t.me/joinchat/AAAAAFdKtmVSmTmfF68jIA Para análise gráfica entre nesse grupo: https://t.me/joinchat/AAAAAFk1BILf5KNH9DlQ3A"
TCE-MG indefere pedido para suspensão do desinvestimento da Cemig na Taesa,https://financenews.com.br/2021/07/tce-mg-indefere-pedido-para-suspensao-do-desinvestimento-da-cemig-na-taesa/,&#160; Publicado às 19h23 &#160; A Companhia Energética de Minas Gerais &#8211; Cemig (CMIG4) informou [&#8230;],"Publicado às 19h23   A Companhia Energética de Minas Gerais – Cemig (CMIG4) informou na noite desta sexta-feira, 30 de julho, que o Tribunal de Contas do Estado de Minas Gerais indeferiu o pedido de liminar que pleiteava a suspensão do processo de desinvestimento da Cemig na Transmissora Aliança de Energia Elétrica – Taesa (TAEE11).  O Tribunal de Contas também revogou a recomendação anterior para que a Cemig se abstivesse de realizar qualquer ato concernente à alienação das ações da Taesa. O TCE-MG solicitou, ainda, a disponibilização de documentos adicionais para continuidade da análise técnica.   Whatsapp:  Para receber notícias entre no grupo pelo link: https://chat.whatsapp.com/IhrUchdwZfv0XUWXinybIS Telegram Para notícias entre nesse grupo: https://t.me/joinchat/AAAAAFdKtmVSmTmfF68jIA Para análise gráfica entre nesse grupo: https://t.me/joinchat/AAAAAFk1BILf5KNH9DlQ3A"
Alupar: entrada em operação UG3 La Virgen,https://financenews.com.br/2021/07/alupar-entrada-em-operacao-ug3-la-virgen/,"&#160; Publicado às 21h22 &#160; A Alupar Investimento (ALUP11) comunicou na noite desta sexta-feira, 30 [&#8230;]","Publicado às 21h22   A Alupar Investimento (ALUP11) comunicou na noite desta sexta-feira, 30 de julho, que sua controlada, a Sociedade La Virgen, localizada no Peru, obteve autorização para iniciar, a partir de 31 de julho de 2021, a operação comercial da unidade geradora 3 da UHE La Virgen, com capacidade de 31,28 MW, totalizando, conjuntamente com a UG1 e UG2, capacidade de 93,76 MW.  A UG3 encontrava-se em testes e sincronizada ao sistema de energia desde 01 de junho de 2021, sendo remunerada pela energia gerada. A partir de 03 de junho de 2021 a UG3 passou a operar de forma assistida.   Whatsapp:  Para receber notícias entre no grupo pelo link: https://chat.whatsapp.com/IhrUchdwZfv0XUWXinybIS Telegram Para notícias entre nesse grupo: https://t.me/joinchat/AAAAAFdKtmVSmTmfF68jIA Para análise gráfica entre nesse grupo: https://t.me/joinchat/AAAAAFk1BILf5KNH9DlQ3A"
Guararapes inaugura nova loja em Natal,https://financenews.com.br/2021/07/guararapes-inaugura-nova-loja-em-natal/,"&#160; Publicado às 21h25 &#160; A Guararapes Confecções (GUAR3) anunciou na noite desta sexta-feira, 30 [&#8230;]","Publicado às 21h25   A Guararapes Confecções (GUAR3) anunciou na noite desta sexta-feira, 30 de julho, a inauguração da oitava loja Carter’s, localizada no Midway Mall, em Natal, no Rio Grande do Norte.  Com esta inauguração, a Companhia totaliza 338 lojas, sendo 326 da Riachuelo, 8 da Carter’s e 4 da Casa Riachuelo.   Whatsapp:  Para receber notícias entre no grupo pelo link: https://chat.whatsapp.com/IhrUchdwZfv0XUWXinybIS Telegram Para notícias entre nesse grupo: https://t.me/joinchat/AAAAAFdKtmVSmTmfF68jIA Para análise gráfica entre nesse grupo: https://t.me/joinchat/AAAAAFk1BILf5KNH9DlQ3A"
Subsidiária da PetroReconcavo vence chamada pública da Potigás,https://financenews.com.br/2021/07/subsidiaria-da-petroreconcavo-vence-chamada-publica-da-potigas/,"&#160; Publicado às 20h18 &#160; &#160; A Potiguar E&#38;P, subsidiária da PetroReconcavo (RECV3), foi vencedora [&#8230;]","Publicado às 20h18     A Potiguar E&P, subsidiária da PetroReconcavo (RECV3), foi vencedora do processo de chamada pública para suprimento de gás natural da Companhia Potiguar de Gás (Potigás), distribuidora que atende o Rio Grande do Norte. A Potiguar apresentou a proposta mais competitiva e melhores condições comerciais.  Em um fato relevante na noite de sábado, 31, a PetroReconcavo informou que a próxima etapa no processo será a celebração do contrato de compra e venda de gás natural com a Potigás, que deverá ter duração de dois anos para entrega de 236 mil m3/dia de gás natural a partir de janeiro de 2022.  Ainda segundo a companhia, dentre as condições precedentes para a concretização do negócio, destaca-se a celebração de um contrato de acesso à infraestrutura de escoamento da Petrobras interligando a Potiguar E&P até a Unidade de Processamento de Gás Natural da Petrobras em Guamaré, um contrato de processamento de gás natural na UPGN Guamaré; e um contrato de acesso à malha de transporte operada pela TAG, permitindo o transporte do gás natural a partir da UPGN Guamaré até os pontos de entrega (city gates) determinados pela Potigás.  No fato relevante a empresa informou que esses contratos se encontram em fase de negociação.    Whatsapp:  Para receber notícias entre no grupo pelo link: https://chat.whatsapp.com/E6hmt7el1f8BVfwVWP10Zs Telegram Para notícias entre nesse grupo: https://t.me/joinchat/AAAAAFdKtmVSmTmfF68jIA Para análise gráfica entre nesse grupo: https://t.me/joinchat/AAAAAFk1BILf5KNH9DlQ3A"
